User:
anma2640
Hostname:
bhpc-c7-u7-15.rc.int.colorado.edu
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                36
On-line CPU(s) list:   0-35
Thread(s) per core:    1
Core(s) per socket:    18
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz
Stepping:              4
CPU MHz:               2700.000
Computation started at:
Sun Jan 23 20:12:01 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Fri Jan 14 23:55:05 MST 2022

nproc used: 36 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol"
    },
    "wavefunction": {
        "right": "rhf",
        "left": "uhf",
        "lef": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "50000"
    },
    "sampling": {
        "seed": "918",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "50",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "500"
    }
}

Number of orbitals:  50, nalpha:  5, nbeta:  5
Initial state energy:  (-5.3447496,0)
Number of Cholesky vectors: 225
Using truncated Cholesky with 90 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-5.3444008,0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
     0     0.000e+00       -5.34475e+00     1.80000e+03      -5.344749565e+00               -                5.69e-02 
     1     2.500e-01       -5.42121e+00     1.80689e+03      -5.443811467e+00               -                1.69e+00 
     2     5.000e-01       -5.48154e+00     1.81146e+03      -5.491780742e+00               -                3.19e+00 
     3     7.500e-01       -5.48732e+00     1.81074e+03      -5.516393953e+00               -                4.65e+00 
     4     1.000e+00       -5.51168e+00     1.81160e+03      -5.533159234e+00               -                6.10e+00 
     5     1.250e+00       -5.50619e+00     1.80975e+03      -5.540369662e+00               -                7.57e+00 
     6     1.500e+00       -5.51317e+00     1.80909e+03      -5.548615876e+00               -                9.02e+00 
     7     1.750e+00       -5.51309e+00     1.80785e+03      -5.553003744e+00               -                1.05e+01 
     8     2.000e+00       -5.51809e+00     1.80716e+03      -5.556361630e+00               -                1.19e+01 
     9     2.250e+00       -5.51906e+00     1.80618e+03      -5.559085691e+00               -                1.34e+01 
    10     2.500e+00       -5.52065e+00     1.80535e+03      -5.559688255e+00               -                1.49e+01 
    11     2.750e+00       -5.51139e+00     1.80362e+03      -5.562764549e+00               -                1.63e+01 
    12     3.000e+00       -5.52178e+00     1.80373e+03      -5.564227097e+00               -                1.78e+01 
    13     3.250e+00       -5.51418e+00     1.80229e+03      -5.566658314e+00               -                1.92e+01 
    14     3.500e+00       -5.51521e+00     1.80168e+03      -5.570092784e+00               -                2.07e+01 
    15     3.750e+00       -5.50653e+00     1.80024e+03      -5.570081611e+00               -                2.21e+01 
    16     4.000e+00       -5.51852e+00     1.80072e+03      -5.569917654e+00               -                2.36e+01 
    17     4.250e+00       -5.52137e+00     1.80044e+03      -5.567619623e+00               -                2.50e+01 
    18     4.500e+00       -5.50577e+00     1.79858e+03      -5.567231299e+00               -                2.65e+01 
    19     4.750e+00       -5.50803e+00     1.79837e+03      -5.565277054e+00               -                2.79e+01 
    20     5.000e+00       -5.50515e+00     1.79776e+03      -5.565126414e+00               -                2.95e+01 
    21     5.250e+00       -5.51277e+00     1.79813e+03      -5.566394149e+00               -                3.11e+01 
    22     5.500e+00       -5.52135e+00     1.79861e+03      -5.571647436e+00               -                3.26e+01 
    23     5.750e+00       -5.51603e+00     1.79782e+03      -5.578395992e+00               -                3.41e+01 
    24     6.000e+00       -5.52085e+00     1.79791e+03      -5.571494624e+00               -                3.55e+01 
    25     6.250e+00       -5.52314e+00     1.79787e+03      -5.573979993e+00               -                3.70e+01 
