User:
anma2640
Hostname:
bnode0306
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                28
On-line CPU(s) list:   0-27
Thread(s) per core:    1
Core(s) per socket:    14
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 79
Model name:            Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
Stepping:              1
CPU MHz:               2899.968
Computation started at:
Fri Dec 24 16:24:04 MST 2021
git commit: 159ecb412ce6fbd924c19fe68b4b032c9ab3a96f, branch: dqmc, compiled at: Fri Dec 10 18:21:03 MST 2021

nproc used: 56 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol",
        "numAct": "18"
    },
    "wavefunction": {
        "right": "uhf",
        "left": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "1"
    },
    "sampling": {
        "seed": "717534",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "25",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "1000"
    }
}

Number of orbitals:  76, nalpha:  10, nbeta:  8
Rankwise number of excitations 1 0 0 0 0 0 0 0 0 0
Number of determinants 1

Initial state energy:  (-73.269639,0)
Number of Cholesky vectors: 473
Using truncated Cholesky with 236 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-73.267935,0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
     0     0.000e+00       -7.32696e+01     1.40000e+03      -7.326963916e+01               -                5.28e-01 
     1     2.500e-01       -7.36034e+01     1.42356e+03      -7.366363998e+01               -                1.10e+01 
     2     5.000e-01       -7.37676e+01     1.43247e+03      -7.378254107e+01               -                2.08e+01 
     3     7.500e-01       -7.37863e+01     1.43042e+03      -7.384067293e+01               -                3.07e+01 
     4     1.000e+00       -7.38117e+01     1.42877e+03      -7.387202546e+01               -                4.05e+01 
     5     1.250e+00       -7.38354e+01     1.42713e+03      -7.388923851e+01               -                5.03e+01 
     6     1.500e+00       -7.38538e+01     1.42532e+03      -7.388860101e+01               -                6.02e+01 
     7     1.750e+00       -7.38435e+01     1.42179e+03      -7.389226550e+01               -                7.00e+01 
     8     2.000e+00       -7.38435e+01     1.41925e+03      -7.388828939e+01               -                7.97e+01 
     9     2.250e+00       -7.38826e+01     1.41976e+03      -7.391287281e+01               -                8.96e+01 
    10     2.500e+00       -7.38551e+01     1.41562e+03      -7.390754910e+01               -                9.94e+01 
    11     2.750e+00       -7.38648e+01     1.41436e+03      -7.391326313e+01               -                1.09e+02 
    12     3.000e+00       -7.38467e+01     1.41130e+03      -7.389352552e+01               -                1.19e+02 
    13     3.250e+00       -7.38508e+01     1.41012e+03      -7.391280368e+01               -                1.29e+02 
    14     3.500e+00       -7.38674e+01     1.40984e+03      -7.391532091e+01               -                1.39e+02 
    15     3.750e+00       -7.38536e+01     1.40754e+03      -7.390639841e+01               -                1.49e+02 
    16     4.000e+00       -7.38344e+01     1.40507e+03      -7.390632554e+01               -                1.58e+02 
    17     4.250e+00       -7.38676e+01     1.40639e+03      -7.393060527e+01               -                1.68e+02 
    18     4.500e+00       -7.38487e+01     1.40398e+03      -7.390798013e+01               -                1.78e+02 
    19     4.750e+00       -7.38358e+01     1.40226e+03      -7.390570123e+01               -                1.88e+02 
    20     5.000e+00       -7.38424e+01     1.40201e+03      -7.391911049e+01               -                1.98e+02 
    21     5.250e+00       -7.38293e+01     1.40035e+03      -7.390725126e+01               -                2.08e+02 
    22     5.500e+00       -7.38457e+01     1.40092e+03      -7.390745472e+01               -                2.17e+02 
    23     5.750e+00       -7.38331e+01     1.39951e+03      -7.390400737e+01               -                2.27e+02 
    24     6.000e+00       -7.38135e+01     1.39769e+03      -7.390457015e+01               -                2.37e+02 
    25     6.250e+00       -7.38394e+01     1.39910e+03      -7.390287570e+01               -                2.47e+02 
    26     6.500e+00       -7.38170e+01     1.39718e+03      -7.391046245e+01               -                2.57e+02 
    27     6.750e+00       -7.38081e+01     1.39618e+03      -7.389138059e+01               -                2.67e+02 
    28     7.000e+00       -7.38038e+01     1.39569e+03      -7.390302172e+01               -                2.77e+02 
    29     7.250e+00       -7.38001e+01     1.39517e+03      -7.389382870e+01               -                2.87e+02 
    30     7.500e+00       -7.38275e+01     1.39691e+03      -7.390048736e+01               -                2.96e+02 
    31     7.750e+00       -7.38008e+01     1.39484e+03      -7.390237747e+01               -                3.07e+02 
    32     8.000e+00       -7.38364e+01     1.39713e+03      -7.393107345e+01               -                3.17e+02 
    33     8.250e+00       -7.38228e+01     1.39581e+03      -7.392599840e+01               -                3.27e+02 
    34     8.500e+00       -7.38182e+01     1.39518e+03      -7.391440819e+01               -                3.37e+02 
    35     8.750e+00       -7.37951e+01     1.39339e+03      -7.392075527e+01               -                3.47e+02 
    36     9.000e+00       -7.38257e+01     1.39530e+03      -7.390498823e+01               -                3.57e+02 
    37     9.250e+00       -7.38307e+01     1.39557e+03      -7.391930853e+01               -                3.67e+02 
    38     9.500e+00       -7.37875e+01     1.39238e+03      -7.388893829e+01               -                3.76e+02 
    39     9.750e+00       -7.37734e+01     1.39145e+03      -7.389190586e+01               -                3.86e+02 
    40     1.000e+01       -7.37871e+01     1.39244e+03      -7.387197625e+01        -7.387197625e+01        3.96e+02 
    41     1.025e+01       -7.37341e+01     1.38891e+03      -7.387607067e+01        -7.387402086e+01        4.06e+02 
    42     1.050e+01       -7.37673e+01     1.39134e+03      -7.388923562e+01        -7.387909406e+01        4.16e+02 
    43     1.075e+01       -7.37630e+01     1.39105e+03      -7.387812124e+01        -7.387885084e+01        4.26e+02 
    44     1.100e+01       -7.37683e+01     1.39152e+03      -7.390352788e+01        -7.388378789e+01        4.36e+02 
    45     1.125e+01       -7.37892e+01     1.39288e+03      -7.392102824e+01        -7.389000140e+01        4.46e+02 
    46     1.150e+01       -7.37797e+01     1.39201e+03      -7.391033033e+01        -7.389290670e+01        4.55e+02 
    47     1.175e+01       -7.37486e+01     1.38973e+03      -7.389445300e+01        -7.389309978e+01        4.65e+02 
    48     1.200e+01       -7.37363e+01     1.38889e+03      -7.388394996e+01        -7.389208466e+01        4.75e+02 
    49     1.225e+01       -7.37665e+01     1.39106e+03      -7.389008148e+01        -7.389188433e+01        4.85e+02 
    50     1.250e+01       -7.37726e+01     1.39152e+03      -7.388278280e+01        -7.389105662e+01        4.95e+02 
    51     1.275e+01       -7.37638e+01     1.39099e+03      -7.389910769e+01        -7.389172753e+01        5.05e+02 
    52     1.300e+01       -7.37741e+01     1.39166e+03      -7.391029993e+01        -7.389315677e+01        5.14e+02 
    53     1.325e+01       -7.37789e+01     1.39188e+03      -7.388768676e+01        -7.389276585e+01        5.24e+02 
    54     1.350e+01       -7.37884e+01     1.39259e+03      -7.390058575e+01        -7.389328768e+01        5.34e+02 
    55     1.375e+01       -7.37732e+01     1.39149e+03      -7.390155939e+01        -7.389380475e+01        5.44e+02 
    56     1.400e+01       -7.37949e+01     1.39296e+03      -7.390611470e+01        -7.389452971e+01        5.54e+02 
    57     1.425e+01       -7.37945e+01     1.39286e+03      -7.392901243e+01        -7.389644738e+01        5.64e+02 
    58     1.450e+01       -7.37701e+01     1.39094e+03      -7.391420598e+01        -7.389738173e+01        5.73e+02 
    59     1.475e+01       -7.37706e+01     1.39087e+03      -7.389286778e+01        -7.389715612e+01        5.83e+02 
    60     1.500e+01       -7.37675e+01     1.39072e+03      -7.388892962e+01        -7.389676456e+01        5.93e+02 
    61     1.525e+01       -7.38024e+01     1.39322e+03      -7.389010783e+01        -7.389646159e+01        6.04e+02 
    62     1.550e+01       -7.37393e+01     1.38890e+03      -7.387070707e+01        -7.389534377e+01        6.14e+02 
    63     1.575e+01       -7.37452e+01     1.38951e+03      -7.387478412e+01        -7.389448819e+01        6.24e+02 
    64     1.600e+01       -7.37702e+01     1.39139e+03      -7.389761459e+01        -7.389461326e+01        6.34e+02 
    65     1.625e+01       -7.37552e+01     1.39032e+03      -7.388090704e+01        -7.389408644e+01        6.44e+02 
    66     1.650e+01       -7.37601e+01     1.39075e+03      -7.388648133e+01        -7.389380486e+01        6.54e+02 
    67     1.675e+01       -7.37293e+01     1.38865e+03      -7.388635526e+01        -7.389353927e+01        6.64e+02 
    68     1.700e+01       -7.37675e+01     1.39135e+03      -7.388364158e+01        -7.389319792e+01        6.74e+02 
    69     1.725e+01       -7.37694e+01     1.39153e+03      -7.389733888e+01        -7.389333599e+01        6.84e+02 
    70     1.750e+01       -7.37736e+01     1.39178e+03      -7.391528767e+01        -7.389404443e+01        6.94e+02 
    71     1.775e+01       -7.37592e+01     1.39061e+03      -7.390523007e+01        -7.389439385e+01        7.04e+02 
    72     1.800e+01       -7.37457e+01     1.38959e+03      -7.389102133e+01        -7.389429176e+01        7.13e+02 
    73     1.825e+01       -7.38051e+01     1.39375e+03      -7.388965123e+01        -7.389415502e+01        7.23e+02 
    74     1.850e+01       -7.37926e+01     1.39292e+03      -7.391560231e+01        -7.389476855e+01        7.33e+02 
    75     1.875e+01       -7.37681e+01     1.39107e+03      -7.389044619e+01        -7.389464850e+01        7.43e+02 
    76     1.900e+01       -7.37586e+01     1.39044e+03      -7.389724253e+01        -7.389471857e+01        7.53e+02 
    77     1.925e+01       -7.37839e+01     1.39219e+03      -7.390661765e+01        -7.389503192e+01        7.63e+02 
    78     1.950e+01       -7.37604e+01     1.39048e+03      -7.390034110e+01        -7.389516798e+01        7.72e+02 
    79     1.975e+01       -7.37943e+01     1.39282e+03      -7.390152876e+01        -7.389532718e+01        7.82e+02 
