User:
anma2640
Hostname:
bhpc-c7-u31-5.rc.int.colorado.edu
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                36
On-line CPU(s) list:   0-35
Thread(s) per core:    1
Core(s) per socket:    18
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz
Stepping:              7
CPU MHz:               3100.000
Computation started at:
Thu Jan 13 04:40:29 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Tue Jan 4 18:32:55 MST 2022

nproc used: 36 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol",
        "numAct": "10"
    },
    "wavefunction": {
        "right": "rhf",
        "left": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "10"
    },
    "sampling": {
        "seed": "559128",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "25",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "400"
    }
}

Number of orbitals:  50, nalpha:  5, nbeta:  5
Rankwise number of excitations 1 0 9 0 0 0 0 0 0 0
Number of determinants 10

Initial state energy:  (-4.9073408,0)
Number of Cholesky vectors: 260
Using truncated Cholesky with 130 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-4.908864,0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
     0     0.000e+00       -4.90734e+00     9.00000e+02      -4.907340799e+00               -                7.27e-02 
     1     2.500e-01       -4.95632e+00     9.02207e+02      -4.976141418e+00               -                2.16e+00 
     2     5.000e-01       -5.00931e+00     9.04289e+02      -5.022584258e+00               -                4.04e+00 
     3     7.500e-01       -5.03502e+00     9.04962e+02      -5.052982617e+00               -                5.86e+00 
     4     1.000e+00       -5.03644e+00     9.04447e+02      -5.078389132e+00               -                7.69e+00 
     5     1.250e+00       -5.03382e+00     9.03694e+02      -5.097702898e+00               -                9.49e+00 
     6     1.500e+00       -5.05720e+00     9.04091e+02      -5.114610747e+00               -                1.13e+01 
     7     1.750e+00       -5.06545e+00     9.03795e+02      -5.127205709e+00               -                1.31e+01 
     8     2.000e+00       -5.07668e+00     9.03643e+02      -5.134818300e+00               -                1.49e+01 
     9     2.250e+00       -5.07427e+00     9.02907e+02      -5.151504567e+00               -                1.67e+01 
    10     2.500e+00       -5.07779e+00     9.02426e+02      -5.160496860e+00               -                1.85e+01 
    11     2.750e+00       -5.07092e+00     9.01500e+02      -5.166632887e+00               -                2.03e+01 
    12     3.000e+00       -5.09228e+00     9.01882e+02      -5.164363930e+00               -                2.21e+01 
    13     3.250e+00       -5.07835e+00     9.00741e+02      -5.160671863e+00               -                2.40e+01 
    14     3.500e+00       -5.08031e+00     9.00384e+02      -5.166209647e+00               -                2.58e+01 
    15     3.750e+00       -5.07357e+00     8.99656e+02      -5.165633811e+00               -                2.76e+01 
    16     4.000e+00       -5.07244e+00     8.99225e+02      -5.174850461e+00               -                2.94e+01 
    17     4.250e+00       -5.06406e+00     8.98466e+02      -5.178446421e+00               -                3.12e+01 
    18     4.500e+00       -5.07295e+00     8.98505e+02      -5.177423277e+00               -                3.31e+01 
    19     4.750e+00       -5.08650e+00     8.98794e+02      -5.175458196e+00               -                3.50e+01 
    20     5.000e+00       -5.09454e+00     8.98876e+02      -5.177171023e+00               -                3.68e+01 
    21     5.250e+00       -5.08166e+00     8.98038e+02      -5.171841512e+00               -                3.86e+01 
