User:
anma2640
Hostname:
bnode0307
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                28
On-line CPU(s) list:   0-27
Thread(s) per core:    1
Core(s) per socket:    14
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 79
Model name:            Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
Stepping:              1
CPU MHz:               2899.968
Computation started at:
Wed Jan 12 05:04:41 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Tue Jan 4 18:32:55 MST 2022

nproc used: 56 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol",
        "numAct": "18"
    },
    "wavefunction": {
        "right": "uhf",
        "left": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "1"
    },
    "sampling": {
        "seed": "558713",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "25",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "500"
    }
}

Number of orbitals:  76, nalpha:  12, nbeta:  8
Rankwise number of excitations 1 0 0 0 0 0 0 0 0 0
Number of determinants 1

Initial state energy:  (-101.80914,-0)
Number of Cholesky vectors: 482
Using truncated Cholesky with 289 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-101.80795,-0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
     0     0.000e+00       -1.01809e+02     1.40000e+03      -1.018091429e+02               -                5.83e-01 
     1     2.500e-01       -1.02175e+02     1.42583e+03      -1.022609525e+02               -                1.09e+01 
     2     5.000e-01       -1.02361e+02     1.43595e+03      -1.023661089e+02               -                2.14e+01 
     3     7.500e-01       -1.02369e+02     1.43281e+03      -1.024177960e+02               -                3.17e+01 
     4     1.000e+00       -1.02374e+02     1.42950e+03      -1.024303448e+02               -                4.20e+01 
     5     1.250e+00       -1.02418e+02     1.42926e+03      -1.024503104e+02               -                5.24e+01 
     6     1.500e+00       -1.02430e+02     1.42696e+03      -1.024647058e+02               -                6.27e+01 
     7     1.750e+00       -1.02413e+02     1.42276e+03      -1.024556684e+02               -                7.31e+01 
     8     2.000e+00       -1.02406e+02     1.41970e+03      -1.024643698e+02               -                8.35e+01 
     9     2.250e+00       -1.02419e+02     1.41820e+03      -1.024931672e+02               -                9.39e+01 
    10     2.500e+00       -1.02456e+02     1.41849e+03      -1.024813039e+02               -                1.05e+02 
    11     2.750e+00       -1.02409e+02     1.41313e+03      -1.024705541e+02               -                1.16e+02 
    12     3.000e+00       -1.02440e+02     1.41354e+03      -1.025068731e+02               -                1.26e+02 
    13     3.250e+00       -1.02408e+02     1.40943e+03      -1.025084261e+02               -                1.36e+02 
    14     3.500e+00       -1.02428e+02     1.40924e+03      -1.024935082e+02               -                1.47e+02 
    15     3.750e+00       -1.02400e+02     1.40582e+03      -1.024915123e+02               -                1.57e+02 
    16     4.000e+00       -1.02415e+02     1.40566e+03      -1.024943999e+02               -                1.68e+02 
    17     4.250e+00       -1.02415e+02     1.40454e+03      -1.025023058e+02               -                1.78e+02 
    18     4.500e+00       -1.02455e+02     1.40631e+03      -1.025211706e+02               -                1.88e+02 
    19     4.750e+00       -1.02417e+02     1.40251e+03      -1.025075741e+02               -                1.99e+02 
    20     5.000e+00       -1.02425e+02     1.40217e+03      -1.025111428e+02               -                2.09e+02 
    21     5.250e+00       -1.02406e+02     1.40005e+03      -1.024864380e+02               -                2.20e+02 
    22     5.500e+00       -1.02419e+02     1.40036e+03      -1.025046017e+02               -                2.30e+02 
    23     5.750e+00       -1.02379e+02     1.39693e+03      -1.025090306e+02               -                2.41e+02 
    24     6.000e+00       -1.02415e+02     1.39885e+03      -1.025114543e+02               -                2.51e+02 
    25     6.250e+00       -1.02400e+02     1.39726e+03      -1.025001369e+02               -                2.61e+02 
    26     6.500e+00       -1.02375e+02     1.39506e+03      -1.024985736e+02               -                2.72e+02 
    27     6.750e+00       -1.02378e+02     1.39494e+03      -1.024682324e+02               -                2.82e+02 
    28     7.000e+00       -1.02400e+02     1.39633e+03      -1.024851705e+02               -                2.93e+02 
    29     7.250e+00       -1.02387e+02     1.39522e+03      -1.024855522e+02               -                3.03e+02 
    30     7.500e+00       -1.02388e+02     1.39505e+03      -1.025252457e+02               -                3.13e+02 
    31     7.750e+00       -1.02412e+02     1.39628e+03      -1.025096148e+02               -                3.24e+02 
    32     8.000e+00       -1.02345e+02     1.39133e+03      -1.025068382e+02               -                3.34e+02 
    33     8.250e+00       -1.02418e+02     1.39610e+03      -1.025384502e+02               -                3.44e+02 
    34     8.500e+00       -1.02361e+02     1.39170e+03      -1.025103376e+02               -                3.55e+02 
    35     8.750e+00       -1.02371e+02     1.39217e+03      -1.025253428e+02               -                3.65e+02 
    36     9.000e+00       -1.02359e+02     1.39108e+03      -1.025047292e+02               -                3.75e+02 
    37     9.250e+00       -1.02338e+02     1.38948e+03      -1.024923044e+02               -                3.86e+02 
    38     9.500e+00       -1.02328e+02     1.38872e+03      -1.025125864e+02               -                3.96e+02 
    39     9.750e+00       -1.02374e+02     1.39176e+03      -1.025346458e+02               -                4.07e+02 
    40     1.000e+01       -1.02329e+02     1.38838e+03      -1.025183613e+02        -1.025183613e+02        4.17e+02 
    41     1.025e+01       -1.02382e+02     1.39188e+03      -1.025201879e+02        -1.025192757e+02        4.28e+02 
    42     1.050e+01       -1.02319e+02     1.38737e+03      -1.024927888e+02        -1.025104585e+02        4.38e+02 
    43     1.075e+01       -1.02340e+02     1.38890e+03      -1.024882503e+02        -1.025049074e+02        4.49e+02 
    44     1.100e+01       -1.02282e+02     1.38494e+03      -1.024657111e+02        -1.024970871e+02        4.59e+02 
    45     1.125e+01       -1.02301e+02     1.38650e+03      -1.024798000e+02        -1.024942090e+02        4.70e+02 
    46     1.150e+01       -1.02377e+02     1.39188e+03      -1.024858411e+02        -1.024930107e+02        4.80e+02 
    47     1.175e+01       -1.02367e+02     1.39122e+03      -1.025219189e+02        -1.024966303e+02        4.90e+02 
    48     1.200e+01       -1.02380e+02     1.39193e+03      -1.025187545e+02        -1.024990933e+02        5.01e+02 
    49     1.225e+01       -1.02359e+02     1.39027e+03      -1.025267702e+02        -1.025018629e+02        5.11e+02 
    50     1.250e+01       -1.02324e+02     1.38767e+03      -1.025162512e+02        -1.025031695e+02        5.22e+02 
